,A0,A1,A2,A3,A4,A5,A6,A7,B,C,sample_size,seed,time_delta
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.982,0.018,700,4,0.0003597736358642578
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.974,0.026,800,4,0.0002601146697998047
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.955,0.045,900,4,0.0002911090850830078
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.957,0.043,1000,4,0.0003330707550048828
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997,0.003,1100,4,0.000354766845703125
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998,0.002,1200,4,0.00036978721618652344
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999,0.001,1300,4,0.0004107952117919922
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997,0.003,1400,4,0.00042319297790527344
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.993,0.007,1500,4,0.00045609474182128906
105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.01,1600,4,0.0005421638488769531
106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.979,0.021,1700,4,0.0005090236663818359
107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.01,1800,4,0.0007119178771972656
108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.993,0.007,1900,4,0.0005750656127929688
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.993,0.007,2000,4,0.0007188320159912109
110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997,0.003,2100,4,0.0006580352783203125
111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.991,0.009,2200,4,0.0006399154663085938
112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.005,2300,4,0.00072479248046875
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.989,0.011,2400,4,0.0007631778717041016
114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.977,0.023,2500,4,0.0007102489471435547
115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.973,0.027,2600,4,0.0007469654083251953
116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.956,0.044,2700,4,0.0007731914520263672
117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.971,0.029,2800,4,0.0009160041809082031
118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.946,0.054,2900,4,0.00084686279296875
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.962,0.038,3000,4,0.0012090206146240234
120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.962,0.038,100,5,5.1975250244140625e-05
121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.922,0.078,200,5,8.20159912109375e-05
122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.991,0.009,300,5,0.00012302398681640625
123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.979,0.021,400,5,0.00014400482177734375
124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.961,0.039,500,5,0.00021004676818847656
125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.984,0.016,600,5,0.0002601146697998047
126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.01,700,5,0.00029397010803222656
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996,0.004,800,5,0.00026297569274902344
128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.994,0.006,900,5,0.0005419254302978516
129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.988,0.012,1000,5,0.00042700767517089844
